Company Name,
3M India Ltd.,TMIN.NS
ABB India Ltd.,ABB.NS
AIA Engineering Ltd.,AIAE.NS
APL Apollo Tubes Ltd.,APLA.NS
AU Small Finance Bank Ltd.,AUFI.NS
Aarti Industries Ltd.,ARTI.NS
Aavas Financiers Ltd.,AVAS.NS
Abbott India Ltd.,ABOT.NS
Adani Total Gas Ltd.,ADAG.NS
Aditya Birla Capital Ltd.,ADTB.NS
Aditya Birla Fashion and Retail Ltd.,ADIA.NS
Affle (India) Ltd.,AFFL.NS
Ajanta Pharmaceuticals Ltd.,AJPH.NS
Alembic Pharmaceuticals Ltd.,ALEM.NS
Alkem Laboratories Ltd.,ALKE.NS
Alkyl Amines Chemicals Ltd.,ALKY.NS
Amara Raja Batteries Ltd.,AMAR.NS
Apollo Tyres Ltd.,APLO.NS
Ashok Leyland Ltd.,ASOK.NS
Astral Ltd.,ASTL.NS
Atul Ltd.,ATLP.NS
Balkrishna Industries Ltd.,BLKI.NS
Bank of India,BOI.NS
Bata India Ltd.,BATA.NS
Bayer Cropscience Ltd.,BAYE.NS
Bharat Electronics Ltd.,BAJE.NS
Bharat Forge Ltd.,BFRG.NS
Bharat Heavy Electricals Ltd.,BHEL.NS
Blue Dart Express Ltd.,BLDT.NS
CRISIL Ltd.,CRSL.NS
Canara Bank,CNBK.NS
Castrol India Ltd.,CAST.NS
Cholamandalam Financial Holdings Ltd.,CHOL.NS
City Union Bank Ltd.,CTBK.NS
Coforge Ltd.,COFO.NS
Container Corporation of India Ltd.,CCRI.NS
Coromandel International Ltd.,CORF.NS
Crompton Greaves Consumer Electricals Ltd.,CROP.NS
Cummins India Ltd.,CUMM.NS
Dalmia Bharat Ltd.,DALB.NS
Deepak Nitrite Ltd.,DPNT.NS
Dhani Services Ltd.,DHAE.NS
Dixon Technologies (India) Ltd.,DIXO.NS
Dr. Lal Path Labs Ltd.,DLPA.NS
Emami Ltd.,EMAM.NS
Endurance Technologies Ltd.,ENDU.NS
Escorts Ltd.,ESCO.NS
Exide Industries Ltd.,EXID.NS
Federal Bank Ltd.,FED.NS
Fortis Healthcare Ltd.,FOHE.NS
General Insurance Corporation of India,GENA.NS
Gillette India Ltd.,GILE.NS
Glaxosmithkline Pharmaceuticals Ltd.,GLAX.NS
Glenmark Pharmaceuticals Ltd.,GLEN.NS
Godrej Industries Ltd.,GODI.NS
Godrej Properties Ltd.,GODR.NS
Gujarat Gas Ltd.,GGAS.NS
Gujarat State Petronet Ltd.,GSPT.NS
Hatsun Agro Product Ltd.,HAPL.NS
Hindustan Aeronautics Ltd.,HIAE.NS
Hindustan Copper Ltd.,HCPR.NS
Hindustan Zinc Ltd.,HZNC.NS
Honeywell Automation India Ltd.,HONE.NS
ICICI Securities Ltd.,ICCI.NS
IDFC First Bank Ltd.,IDFB.NS
ITI Ltd.,ITEL.NS
Indiamart Intermesh Ltd.,INMR.NS
Indian Bank,INBA.NS
Indian Hotels Co. Ltd.,IHTL.NS
Indian Railway Catering And Tourism Corporation Ltd.,INIR.NS
Indian Railway Finance Corporation Ltd.,INID.NS
Ipca Laboratories Ltd.,IPCA.NS
J.K. Cement Ltd.,JKCE.NS
JSW Energy Ltd.,JSWE.NS
Kajaria Ceramics Ltd.,KAJR.NS
Kansai Nerolac Paints Ltd.,KANE.NS
L&T Finance Holdings Ltd.,LTFH.NS
L&T Technology Services Ltd.,LTEH.NS
LIC Housing Finance Ltd.,LICH.NS
Laurus Labs Ltd.,LAUL.NS
Linde India Ltd.,LIND.NS
MRF Ltd.,MRF.NS
Macrotech Developers Ltd.,MACE.NS
Mahanagar Gas Ltd.,MGAS.NS
Mahindra & Mahindra Financial Services Ltd.,MMFS.NS
Manappuram Finance Ltd.,MNFL.NS
Max Financial Services Ltd.,MAXI.NS
Max Healthcare Institute Ltd.,MAXE.NS
Metropolis Healthcare Ltd.,METP.NS
MindTree Ltd.,MINT.NS
Minda Industries Ltd.,MNDA.NS
Motilal Oswal Financial Services Ltd.,MOFS.NS
MphasiS Ltd.,MBFL.NS
NATCO Pharma Ltd.,NATP.NS
NHPC Ltd.,NHPC.NS
National Aluminium Co. Ltd.,NALU.NS
Navin Fluorine International Ltd.,NAFL.NS
Nippon Life India Asset Management Ltd.,NIPF.NS
Oberoi Realty Ltd.,OEBO.NS
Oil India Ltd.,OILI.NS
Oracle Financial Services Software Ltd.,ORCL.NS
Page Industries Ltd.,PAGE.NS
Persistent Systems Ltd.,PERS.NS
Petronet LNG Ltd.,PLNG.NS
Pfizer Ltd.,PFIZ.NS
Phoenix Mills Ltd.,PHOE.NS
Polycab India Ltd.,POLC.NS
Power Finance Corporation Ltd.,PWFC.NS
Prestige Estates Projects Ltd.,PREG.NS
RBL Bank Ltd.,RATB.NS
REC Ltd.,RECM.NS
Rajesh Exports Ltd.,REXP.NS
Relaxo Footwears Ltd.,RLXO.NS
SKF India Ltd.,SKFB.NS
SRF Ltd.,SRFL.NS
Sanofi India Ltd.,SANO.NS
Schaeffler India Ltd.,SCHE.NS
Shriram Transport Finance Co. Ltd.,SRTR.NS
Solar Industries India Ltd.,SLIN.NS
Sona BLW Precision Forgings Ltd.,SONB.NS
Sumitomo Chemical India Ltd.,SUMH.NS
Sun TV Network Ltd.,SUTV.NS
Sundaram Finance Ltd.,SNFN.NS
Sundram Fasteners Ltd.,SNFS.NS
Supreme Industries Ltd.,SUPI.NS
Suven Pharmaceuticals Ltd.,SUVH.NS
Syngene International Ltd.,SYNN.NS
TTK Prestige Ltd.,TTKL.NS
TVS Motor Company Ltd.,TVSM.NS
Tata Chemicals Ltd.,TTCH.NS
Tata Communications Ltd.,TATA.NS
Tata Elxsi Ltd.,TTEX.NS
Tata Power Co. Ltd.,TTPW.NS
The New India Assurance Company Ltd.,THEE.NS
The Ramco Cements Ltd.,TRCE.NS
Thermax Ltd.,THMX.NS
Torrent Power Ltd.,TOPO.NS
Trent Ltd.,TREN.NS
Tube Investments of India Ltd.,TBEI.NS
Union Bank of India,UNBK.NS
United Breweries Ltd.,UBBW.NS
Vaibhav Global Ltd.,VAIB.NS
Varun Beverages Ltd.,VARB.NS
Vinati Organics Ltd.,VNTI.NS
Vodafone Idea Ltd.,VODA.NS
Voltas Ltd.,VOLT.NS
WABCO India Ltd.,WABC.NS
Whirlpool of India Ltd., WHIR.NS
Zee Entertainment Enterprises Ltd.,ZEE.NS
Zydus Wellness Ltd.,ZYDS.NS
